name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Iker Muniain,"€ 42,308","€ 2,200,000",,F,31,Spain,Athletic Club,2023-2024,la-liga,,,"Nov 21, 2018","Jun 30, 2024",1,"€ 2,200,000",,Reserve,AM,True
Djene,"€ 42,308","€ 2,200,000",,D,32,Togo,Getafe,2023-2024,la-liga,,,"Jul 24, 2017","Jun 30, 2025",2,"€ 4,400,000",,Starter,CB,True
Brais Mendez,"€ 42,308","€ 2,200,000",,F,27,Spain,Real Sociedad,2023-2024,la-liga,,,"Jul 6, 2022","Jun 30, 2028",5,"€ 11,000,000","€ 60,000,000",Reserve,AM,True
Jaime Mata,"€ 41,154","€ 2,140,000",,F,35,Spain,Getafe,2023-2024,la-liga,,,"Jan 6, 2021","Jun 30, 2024",1,"€ 2,140,000",,Starter,CF,True
Mikel Vesga,"€ 40,000","€ 2,080,000",,M,30,Spain,Athletic Club,2023-2024,la-liga,,,"Dec 21, 2023","Jun 30, 2027",4,"€ 8,320,000","€ 50,000,000",Reserve,DM,True
Gorka Guruzeta,"€ 40,000","€ 2,080,000",,F,27,Spain,Athletic Club,2023-2024,la-liga,,,"Feb 20, 2024","Jun 30, 2028",5,"€ 10,400,000",,Starter,CF,True
Miguel Crespo,"€ 40,000","€ 2,080,000",,M,27,Portugal,Rayo Vallecano,2023-2024,la-liga,,"€ 1,040,000","Jan 31, 2024","Jun 30, 2024",1,"€ 2,080,000",,Reserve,CM,True
Luis Maximiano,"€ 40,000","€ 2,080,000",,K,25,Portugal,Almeria,2023-2024,la-liga,,,"Aug 16, 2023","Jun 30, 2024",1,"€ 2,080,000",,Starter,GK,True
Isaac Romero,"€ 40,000","€ 2,080,000",,F,24,Spain,Sevilla,2023-2024,la-liga,,,"May 24, 2024","Jun 30, 2028",5,"€ 10,400,000","€ 30,000,000",Starter,CF,True
Raul Garcia,"€ 40,000","€ 2,080,000",,F,37,Spain,Athletic Club,2023-2024,la-liga,,,"Jun 30, 2023","Jun 30, 2024",1,"€ 2,080,000",,Reserve,CF,True
Nemanja Maksimovic,"€ 40,000","€ 2,080,000",,M,29,Serbia,Getafe,2023-2024,la-liga,,,"Jul 16, 2018","Jun 30, 2024",1,"€ 2,080,000",,Starter,CM,True
Alex Baena,"€ 38,462","€ 2,000,000",,F,22,Spain,Villarreal,2023-2024,la-liga,,,"Jan 20, 2023","Jun 30, 2028",5,"€ 10,000,000","€ 60,000,000",Starter,AM,True
Juan Foyth,"€ 38,462","€ 2,000,000",,D,26,Argentina,Villarreal,2023-2024,la-liga,,,"Jul 1, 2021","Jun 30, 2026",3,"€ 6,000,000","€ 42,000,000",Reserve,RB,True
Igor Zubeldia,"€ 38,462","€ 2,000,000",,D,26,Spain,Real Sociedad,2023-2024,la-liga,,,"May 17, 2023","Jun 30, 2029",6,"€ 12,000,000","€ 50,000,000",Starter,CB,True
Fran Beltran,"€ 38,462","€ 2,000,000",,M,24,Spain,Celta Vigo,2023-2024,la-liga,,,"Jan 13, 2022","Jun 30, 2026",3,"€ 6,000,000",,Starter,CM,True
Hugo Guillamon,"€ 36,923","€ 1,920,000",,M,24,Spain,Valencia,2023-2024,la-liga,,,"Oct 3, 2022","Jun 30, 2026",3,"€ 5,760,000","€ 50,000,000",Starter,DM,True
Rafa Mir,"€ 36,538","€ 1,900,000",,F,26,Spain,Sevilla,2023-2024,la-liga,,,"Aug 20, 2021","Jun 30, 2027",4,"€ 7,600,000",,Reserve,CF,True
Etienne Capoue,"€ 36,538","€ 1,900,000",,M,35,France,Villarreal,2023-2024,la-liga,,,"Jul 20, 2022","Jun 30, 2024",1,"€ 1,900,000",,Reserve,DM,True
Dimitri Foulquier,"€ 35,962","€ 1,870,000",,D,30,Guadeloupe,Valencia,2023-2024,la-liga,,,"Aug 30, 2021","Jun 30, 2025",2,"€ 3,740,000",,Starter,RB,True
Thierry Correia,"€ 35,385","€ 1,840,000",,D,24,Portugal,Valencia,2023-2024,la-liga,,,"Oct 4, 2021","Jun 30, 2026",3,"€ 5,520,000",,Reserve,RB,True
Maximo Perrone,"€ 35,385","€ 1,840,000",,M,21,Argentina,Las Palmas,2023-2024,la-liga,,,"Aug 23, 2023","Jun 30, 2024",1,"€ 1,840,000",,Starter,DM,True
Portu,"€ 34,615","€ 1,800,000",,F,31,Spain,Girona,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2027",4,"€ 7,200,000",,Starter,RW,True
Jesus Vallejo,"€ 34,615","€ 1,800,000",,D,27,Spain,Granada,2023-2024,la-liga,,,"Jul 15, 2023","Jun 30, 2024",1,"€ 1,800,000",,Reserve,CB,True
Gonzalo Escalante,"€ 34,423","€ 1,790,000",,M,30,Argentina,Cadiz,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2026",3,"€ 5,370,000",,Starter,CM,True
Daley Blind,"€ 34,231","€ 1,780,000",,D,34,Netherlands,Girona,2023-2024,la-liga,,,"May 15, 2024","Jun 30, 2026",3,"€ 5,340,000",,Starter,CB,True
Asier Villalibre,"€ 34,038","€ 1,770,000",,F,26,Spain,Athletic Club,2023-2024,la-liga,,,"Jul 1, 2019","Jun 30, 2025",2,"€ 3,540,000",,Reserve,CF,True
Munir El Haddadi,"€ 33,654","€ 1,750,000",,F,28,Morocco,Las Palmas,2023-2024,la-liga,,,"Jul 30, 2023","Jun 30, 2024",1,"€ 1,750,000",,Starter,RW,True
Unai Nunez,"€ 32,692","€ 1,700,000",,D,27,Spain,Celta Vigo,2023-2024,la-liga,,,"Jul 20, 2022","Jun 30, 2024",1,"€ 1,700,000",,Starter,CB,True
Guido Rodriguez,"€ 32,692","€ 1,700,000",,M,29,Argentina,Real Betis,2023-2024,la-liga,,,"Jan 14, 2020","Jun 30, 2024",1,"€ 1,700,000","€ 80,000,000",Reserve,DM,True
Lucas Ocampos,"€ 32,692","€ 1,700,000",,F,29,Argentina,Sevilla,2023-2024,la-liga,,,"Jun 16, 2021","Jun 30, 2025",2,"€ 3,400,000",,Starter,LW,True
Alex Berenguer,"€ 32,692","€ 1,700,000",,F,28,Spain,Athletic Club,2023-2024,la-liga,,,"Oct 2, 2020","Jun 30, 2024",1,"€ 1,700,000","€ 60,000,000",Reserve,LW,True
Lamine Yamal,"€ 32,115","€ 1,670,000",,F,16,Spain,Barcelona,2023-2024,la-liga,,"€ 420,000","Oct 2, 2023","Jun 30, 2026",3,"€ 5,010,000","€ 1,000,000,000",Starter,RW,True
Alejandro Balde,"€ 32,115","€ 1,670,000",,D,20,Spain,Barcelona,2023-2024,la-liga,,"€ 420,000","Sep 20, 2023","Jun 30, 2028",5,"€ 8,350,000","€ 1,000,000,000",Reserve,LB,True
Nemanja Radonjic,"€ 32,115","€ 1,670,000",,F,27,Serbia,Mallorca,2023-2024,la-liga,,,"Jan 31, 2024","Jun 30, 2024",1,"€ 1,670,000",,Reserve,LW,True
Luka Romero,"€ 32,115","€ 1,670,000",,F,19,Argentina,Almeria,2023-2024,la-liga,,,"Jan 22, 2024","Jun 30, 2024",1,"€ 1,670,000",,Reserve,RW,True
Ilaix Moriba,"€ 31,154","€ 1,620,000",,M,21,Guinea,Getafe,2023-2024,la-liga,,,"Jan 8, 2024","Jun 30, 2024",1,"€ 1,620,000",,Reserve,CM,True
Joseph Aidoo,"€ 30,769","€ 1,600,000",,D,28,Ghana,Celta Vigo,2023-2024,la-liga,,,"Jul 11, 2019","Jun 30, 2026",3,"€ 4,800,000",,Reserve,CB,True
Aissa Mandi,"€ 30,769","€ 1,600,000",,D,32,Algeria,Villarreal,2023-2024,la-liga,,,"Jul 1, 2021","Jun 30, 2025",2,"€ 3,200,000",,Reserve,CB,True
Julian Araujo,"€ 30,000","€ 1,560,000",,D,22,Mexico,Las Palmas,2023-2024,la-liga,,,"Aug 1, 2023","Jun 30, 2024",1,"€ 1,560,000",,Reserve,RB,True
Ander Barrenetxea,"€ 30,000","€ 1,560,000",,F,22,Spain,Real Sociedad,2023-2024,la-liga,,,"Jan 28, 2024","Jun 30, 2030",7,"€ 10,920,000","€ 75,000,000",Reserve,LW,True
Gonzalo Villar,"€ 29,615","€ 1,540,000",,M,25,Spain,Granada,2023-2024,la-liga,,,"Aug 4, 2023","Jun 30, 2027",4,"€ 6,160,000",,Reserve,CM,True
David Soria,"€ 29,038","€ 1,510,000",,K,30,Spain,Getafe,2023-2024,la-liga,,,"May 25, 2021","Jun 30, 2024",1,"€ 1,510,000",,Starter,GK,True
Luis Suarez,"€ 28,846","€ 1,500,000",,F,26,Colombia,Almeria,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2029",6,"€ 9,000,000",,Reserve,CF,True
Alejo Veliz,"€ 28,846","€ 1,500,000",,F,20,Argentina,Sevilla,2023-2024,la-liga,,,"Feb 1, 2024","Jun 30, 2024",1,"€ 1,500,000",,Reserve,CF,True
Daley Sinkgraven,"€ 28,846","€ 1,500,000",,D,28,Netherlands,Las Palmas,2023-2024,la-liga,,,"Jul 11, 2023","Jun 30, 2025",2,"€ 3,000,000",,Reserve,LB,True
Giorgi Mamardashvili,"€ 28,846","€ 1,500,000",,K,23,Georgia,Valencia,2023-2024,la-liga,,,"Sep 19, 2022","Jun 30, 2027",4,"€ 6,000,000","€ 100,000,000",Starter,GK,True
Ianis Hagi,"€ 28,846","€ 1,500,000",,F,25,Romania,Alaves,2023-2024,la-liga,,,"Aug 27, 2023","Jun 30, 2024",1,"€ 1,500,000",,Reserve,AM,True
Joao Felix,"€ 28,846","€ 1,500,000",,F,23,Portugal,Atletico Madrid,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2029",5,"€ 7,500,000",,Reserve,SS,False
Jose Callejon,"€ 28,846","€ 1,500,000",,F,36,Spain,Granada,2023-2024,la-liga,,,"Jul 25, 2022","Jun 30, 2024",1,"€ 1,500,000",,Reserve,RW,True
Jose Luis Morales,"€ 28,846","€ 1,500,000",,F,36,Spain,Villarreal,2023-2024,la-liga,,,"Jul 1, 2022","Jun 30, 2024",1,"€ 1,500,000",,Reserve,CF,True
Mason Greenwood,"€ 28,846","€ 1,500,000",,F,22,England,Getafe,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2024",1,"€ 1,500,000",,Starter,RW,True
Pepe Reina,"€ 28,846","€ 1,500,000",,K,41,Spain,Villarreal,2023-2024,la-liga,,,"Jun 22, 2023","Jun 30, 2024",1,"€ 1,500,000",,Reserve,GK,True
Sergi Canos,"€ 28,846","€ 1,500,000",,F,27,Spain,Valencia,2023-2024,la-liga,,,"Aug 20, 2023","Jun 30, 2027",4,"€ 6,000,000",,Reserve,RW,True
Toni Lato,"€ 28,846","€ 1,500,000",,D,26,Spain,Mallorca,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2027",4,"€ 6,000,000",,Reserve,LB,True
Sandro Ramirez,"€ 28,654","€ 1,490,000",,F,28,Spain,Las Palmas,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2026",3,"€ 4,470,000",,Starter,CF,True
Alvaro Garcia,"€ 27,885","€ 1,450,000",,F,31,Spain,Rayo Vallecano,2023-2024,la-liga,,,"Oct 21, 2021","Jun 30, 2026",3,"€ 4,350,000",,Starter,LW,True
Cristian Rivero,"€ 27,885","€ 1,450,000",,K,25,Spain,Valencia,2023-2024,la-liga,,,"Jun 2, 2021","Jun 30, 2024",1,"€ 1,450,000",,Reserve,GK,True
Jaume Domenech,"€ 27,885","€ 1,450,000",,K,33,Spain,Valencia,2023-2024,la-liga,,,"Apr 17, 2024","Jun 30, 2025",2,"€ 2,900,000",,Reserve,GK,True
Darwin Machis,"€ 27,885","€ 1,450,000",,F,30,Venezuela,Cadiz,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2024",1,"€ 1,450,000",,Reserve,LW,True
Alberto Moreno,"€ 26,923","€ 1,400,000",,D,31,Spain,Villarreal,2023-2024,la-liga,,,"Jul 9, 2019","Jun 30, 2024",1,"€ 1,400,000",,Reserve,LB,True
Viktor Tsyhankov,"€ 26,923","€ 1,400,000",,F,26,Ukraine,Girona,2023-2024,la-liga,,"€ 280,000","Jan 17, 2023","Jun 30, 2027",4,"€ 5,600,000","€ 30,000,000",Starter,RW,True
Sheraldo Becker,"€ 26,923","€ 1,400,000",,F,28,Suriname,Real Sociedad,2023-2024,la-liga,,,"Jan 18, 2024","Jun 30, 2026",3,"€ 4,200,000",,Reserve,CF,True
Yeremi Pino,"€ 25,962","€ 1,350,000",,F,21,Spain,Villarreal,2023-2024,la-liga,,,"Nov 15, 2021","Jun 30, 2027",4,"€ 5,400,000","€ 80,000,000",Reserve,RW,True
Vitolo,"€ 25,962","€ 1,350,000",,F,34,Spain,Atletico Madrid,2023-2024,la-liga,,,"Jul 12, 2017","Jun 30, 2024",1,"€ 1,350,000",,Reserve,LW,True
Ante Budimir,"€ 25,962","€ 1,350,000",,F,32,Croatia,Osasuna,2023-2024,la-liga,,,"Oct 9, 2023","Jun 30, 2027",4,"€ 5,400,000","€ 20,000,000",Starter,CF,True
Ruben Garcia,"€ 25,962","€ 1,350,000",,F,30,Spain,Osasuna,2023-2024,la-liga,,,"May 23, 2024","Jun 30, 2026",3,"€ 4,050,000","€ 8,000,000",Reserve,LW,True
Manu Morlanes,"€ 25,192","€ 1,310,000",,M,25,Spain,Mallorca,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2028",5,"€ 6,550,000",,Reserve,CM,True
Juan Miranda,"€ 25,000","€ 1,300,000",,D,24,Spain,Real Betis,2023-2024,la-liga,,,"Jul 1, 2021","Jun 30, 2024",1,"€ 1,300,000",,Starter,LB,True
Anastasios Douvikas,"€ 25,000","€ 1,300,000",,F,24,Greece,Celta Vigo,2023-2024,la-liga,,,"Aug 28, 2023","Jun 30, 2028",5,"€ 6,500,000",,Reserve,CF,True
Pepelu,"€ 25,000","€ 1,300,000",,M,25,Spain,Valencia,2023-2024,la-liga,,,"Jul 8, 2023","Jun 30, 2028",5,"€ 6,500,000","€ 100,000,000",Starter,DM,True
Marko Dmitrovic,"€ 24,231","€ 1,260,000",,K,32,Serbia,Sevilla,2023-2024,la-liga,,,"Jul 4, 2021","Jun 30, 2025",2,"€ 2,520,000",,Reserve,GK,True
Aitor Paredes,"€ 24,038","€ 1,250,000",,D,23,Spain,Athletic Club,2023-2024,la-liga,,,"Mar 21, 2024","Jun 30, 2029",6,"€ 7,500,000",,Starter,CB,True
Oscar de Marcos,"€ 24,038","€ 1,250,000",,D,35,Spain,Athletic Club,2023-2024,la-liga,,,"May 19, 2024","Jun 30, 2025",2,"€ 2,500,000",,Starter,RB,True
Santi Comesana,"€ 24,038","€ 1,250,000",,M,27,Spain,Villarreal,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2027",4,"€ 5,000,000",,Reserve,CM,True
Ayoze Perez,"€ 24,038","€ 1,250,000",,F,30,Spain,Real Betis,2023-2024,la-liga,,,"Jul 6, 2023","Jun 30, 2027",4,"€ 5,000,000",,Reserve,LW,True
Samuel Lino,"€ 24,038","€ 1,250,000",,F,24,Brazil,Atletico Madrid,2023-2024,la-liga,,,"Jul 8, 2022","Jun 30, 2027",4,"€ 5,000,000","€ 100,000,000",Starter,LW,True
Florian Lejeune,"€ 24,038","€ 1,250,000",,D,32,France,Rayo Vallecano,2023-2024,la-liga,,,"Jul 28, 2023","Jun 30, 2027",4,"€ 5,000,000",,Starter,CB,True
Paulo Gazzaniga,"€ 23,846","€ 1,240,000",,K,32,Argentina,Girona,2023-2024,la-liga,,,"Feb 14, 2024","Jun 30, 2027",4,"€ 4,960,000",,Starter,GK,True
Miguel Rubio,"€ 23,462","€ 1,220,000",,D,25,Spain,Granada,2023-2024,la-liga,,,"Jul 26, 2022","Jun 30, 2025",2,"€ 2,440,000",,Starter,CB,True
Claudio Bravo,"€ 23,077","€ 1,200,000",,K,40,Chile,Real Betis,2023-2024,la-liga,,,"Jun 19, 2023","Jun 30, 2024",1,"€ 1,200,000",,Reserve,GK,True
Cedric Bakambu,"€ 23,077","€ 1,200,000",,F,32,Democratic Republic of the Congo,Real Betis,2023-2024,la-liga,,,"Feb 1, 2024","Jun 30, 2026",3,"€ 3,600,000",,Reserve,CF,True
Nahuel Molina,"€ 23,077","€ 1,200,000",,D,25,Argentina,Atletico Madrid,2023-2024,la-liga,,,"Jul 28, 2022","Jun 30, 2027",4,"€ 4,800,000","€ 100,000,000",Reserve,RB,True
Cristhian Stuani,"€ 23,077","€ 1,200,000",,F,37,Uruguay,Girona,2023-2024,la-liga,,,"Jul 5, 2021","Jun 30, 2026",3,"€ 3,600,000",,Reserve,CF,True
Oscar Rodriguez,"€ 23,077","€ 1,200,000",,F,25,Spain,Getafe,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2024",1,"€ 1,200,000",,Reserve,AM,True
Falcao,"€ 23,077","€ 1,200,000",,F,37,Colombia,Rayo Vallecano,2023-2024,la-liga,,,"Sep 4, 2021","Jun 30, 2024",1,"€ 1,200,000",,Reserve,CF,True
Facundo Pellistri,"€ 23,077","€ 1,200,000",,F,22,Uruguay,Granada,2023-2024,la-liga,,,"Feb 1, 2024","Jun 30, 2024",1,"€ 1,200,000",,Starter,RW,True
Edgar Gonzalez,"€ 23,077","€ 1,200,000",,D,26,Spain,Almeria,2023-2024,la-liga,,,"Jul 6, 2023","Jun 30, 2028",5,"€ 6,000,000",,Starter,CB,True
Isi Palazon,"€ 23,077","€ 1,200,000",,F,29,Spain,Rayo Vallecano,2023-2024,la-liga,,,"May 8, 2023","Jun 30, 2028",5,"€ 6,000,000","€ 50,000,000",Starter,RW,True
Diego Rico,"€ 23,077","€ 1,200,000",,D,30,Spain,Getafe,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2024",1,"€ 1,200,000","€ 50,000,000",Starter,LB,True
Umar Sadiq,"€ 23,077","€ 1,200,000",,F,27,Nigeria,Real Sociedad,2023-2024,la-liga,,,"Sep 1, 2022","Jun 30, 2028",5,"€ 6,000,000",,Reserve,CF,True
Omar Alderete,"€ 23,077","€ 1,200,000",,D,27,Paraguay,Getafe,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2028",5,"€ 6,000,000",,Starter,CB,True
Manu Trigueros,"€ 23,077","€ 1,200,000",,M,32,Spain,Villarreal,2023-2024,la-liga,,,"Nov 11, 2021","Jun 30, 2025",2,"€ 2,400,000",,Reserve,CM,True
Franco Cervi,"€ 23,077","€ 1,200,000",,F,29,Argentina,Celta Vigo,2023-2024,la-liga,,,"Jul 5, 2021","Jun 30, 2026",3,"€ 3,600,000",,Reserve,LW,True
Pablo Barrios,"€ 22,115","€ 1,150,000",,M,20,Spain,Atletico Madrid,2023-2024,la-liga,,,"Jan 23, 2023","Jun 30, 2028",5,"€ 5,750,000","€ 100,000,000",Starter,CM,True
Oscar Mingueza,"€ 22,115","€ 1,150,000",,D,24,Spain,Celta Vigo,2023-2024,la-liga,,,"Jul 30, 2022","Jun 30, 2026",3,"€ 3,450,000",,Starter,RB,True
Ignasi Miquel,"€ 21,923","€ 1,140,000",,D,31,Spain,Granada,2023-2024,la-liga,,,"Jul 26, 2022","Jun 30, 2025",2,"€ 2,280,000",,Starter,CB,True
Javier Manquillo,"€ 21,923","€ 1,140,000",,D,29,Spain,Celta Vigo,2023-2024,la-liga,,,"Jan 21, 2024","Jun 30, 2025",2,"€ 2,280,000",,Starter,RB,True
Dani Vivian,"€ 21,154","€ 1,100,000",,D,24,Spain,Athletic Club,2023-2024,la-liga,,,"Feb 4, 2022","Jun 30, 2026",3,"€ 3,300,000","€ 40,000,000",Reserve,CB,True
Johan Mojica,"€ 21,154","€ 1,100,000",,D,31,Colombia,Osasuna,2023-2024,la-liga,,,"Jul 26, 2023","Jun 30, 2024",1,"€ 1,100,000",,Starter,LB,True
Yangel Herrera,"€ 21,154","€ 1,100,000",,M,26,Venezuela,Girona,2023-2024,la-liga,,,"Jul 14, 2023","Jun 30, 2027",4,"€ 4,400,000",,Reserve,CM,True
Cesar Montes,"€ 21,154","€ 1,100,000",,D,26,Mexico,Almeria,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2028",5,"€ 5,500,000",,Starter,CB,True
Lucas Robertone,"€ 21,154","€ 1,100,000",,M,26,Argentina,Almeria,2023-2024,la-liga,,,"Dec 23, 2022","Jun 30, 2028",5,"€ 5,500,000","€ 40,000,000",Reserve,CM,True
Adria Pedrosa,"€ 21,154","€ 1,100,000",,D,25,Spain,Sevilla,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2028",5,"€ 5,500,000",,Reserve,LB,True
Carl Starfelt,"€ 21,154","€ 1,100,000",,D,28,Sweden,Celta Vigo,2023-2024,la-liga,,,"Aug 10, 2023","Jun 30, 2027",4,"€ 4,400,000",,Reserve,CB,True
Domingos Duarte,"€ 20,769","€ 1,080,000",,D,28,Portugal,Getafe,2023-2024,la-liga,,,"Jul 11, 2022","Jun 30, 2026",3,"€ 3,240,000",,Reserve,CB,True
Roger Marti,"€ 20,769","€ 1,080,000",,F,33,Spain,Cadiz,2023-2024,la-liga,,,"Jul 2, 2023","Jun 30, 2026",3,"€ 3,240,000",,Reserve,CF,True
Mihailo Ristic,"€ 20,192","€ 1,050,000",,D,28,Serbia,Celta Vigo,2023-2024,la-liga,,,"Sep 1, 2023","Jun 30, 2026",3,"€ 3,150,000",,Starter,LB,True
Tadeo Allende,"€ 20,192","€ 1,050,000",,F,24,Argentina,Celta Vigo,2023-2024,la-liga,,,"Jan 31, 2024","Jun 30, 2028",5,"€ 5,250,000",,Reserve,RW,True
Jorge Cuenca,"€ 20,192","€ 1,050,000",,D,24,Spain,Villarreal,2023-2024,la-liga,,,"Sep 21, 2020","Jun 30, 2025",2,"€ 2,100,000",,Starter,CB,True
Horatiu Moldovan,"€ 20,000","€ 1,040,000",,K,26,Romania,Atletico Madrid,2023-2024,la-liga,,,"Jan 24, 2024","Jun 30, 2027",4,"€ 4,160,000",,Reserve,GK,True
Oscar Melendo,"€ 20,000","€ 1,040,000",,F,26,Spain,Granada,2023-2024,la-liga,,,"Aug 6, 2022","Jun 30, 2025",2,"€ 2,080,000",,Starter,AM,True
Ivan Villar,"€ 20,000","€ 1,040,000",,K,26,Spain,Celta Vigo,2023-2024,la-liga,,,"Jan 11, 2024","Jun 30, 2027",4,"€ 4,160,000",,Reserve,GK,True
Savio,"€ 20,000","€ 1,040,000",,F,19,Brazil,Girona,2023-2024,la-liga,,,"Jul 13, 2023","Jun 30, 2024",1,"€ 1,040,000",,Starter,LW,True
Kamil Jozwiak,"€ 19,615","€ 1,020,000",,F,25,Poland,Granada,2023-2024,la-liga,,,"Feb 1, 2024","Jun 30, 2025",2,"€ 2,040,000",,Reserve,LW,True
Kiko Femenia,"€ 19,231","€ 1,000,000",,D,33,Spain,Villarreal,2023-2024,la-liga,,,"Jul 28, 2022","Jun 30, 2025",2,"€ 2,000,000",,Starter,RB,True
Inigo Lekue,"€ 19,231","€ 1,000,000",,D,30,Spain,Athletic Club,2023-2024,la-liga,,,"Apr 23, 2023","Jun 30, 2025",2,"€ 2,000,000","€ 45,000,000",Reserve,RB,True
Abner,"€ 19,231","€ 1,000,000",,D,23,Brazil,Real Betis,2023-2024,la-liga,,,"Jan 15, 2023","Jun 30, 2029",6,"€ 6,000,000",,Reserve,LB,True
Andoni Gorosabel,"€ 19,231","€ 1,000,000",,D,27,Spain,Alaves,2023-2024,la-liga,,,"Aug 11, 2023","Jun 30, 2024",1,"€ 1,000,000",,Starter,RB,True
Jeremias Ledesma,"€ 19,231","€ 1,000,000",,K,30,Argentina,Cadiz,2023-2024,la-liga,,,"Aug 11, 2023","Jun 30, 2026",3,"€ 3,000,000",,Starter,GK,True
Carlos Fernandez,"€ 19,231","€ 1,000,000",,F,27,Spain,Real Sociedad,2023-2024,la-liga,,,"Jan 24, 2021","Jun 30, 2026",3,"€ 3,000,000","€ 70,000,000",Reserve,CF,True
Manu Sanchez,"€ 19,231","€ 1,000,000",,D,23,Spain,Celta Vigo,2023-2024,la-liga,,,"Jul 3, 2023","Jun 30, 2028",5,"€ 5,000,000",,Reserve,LB,True
Jon Moncayola,"€ 19,231","€ 1,000,000",,M,25,Spain,Osasuna,2023-2024,la-liga,,"€ 500,000","Jun 8, 2021","Jun 30, 2031",8,"€ 8,000,000","€ 22,000,000",Starter,CM,True
Jorge Mere,"€ 19,231","€ 1,000,000",,D,26,Spain,Cadiz,2023-2024,la-liga,,,"Jul 31, 2023","Jun 30, 2024",1,"€ 1,000,000",,Reserve,CB,True
Alejandro Catena,"€ 19,231","€ 1,000,000",,D,29,Spain,Osasuna,2023-2024,la-liga,,,"Jul 1, 2023","Jun 30, 2028",5,"€ 5,000,000",,Reserve,CB,True
Samu Castillejo,"€ 19,231","€ 1,000,000",,F,28,Spain,Valencia,2023-2024,la-liga,,,"Jul 12, 2022","Jun 30, 2025",2,"€ 2,000,000",,Reserve,RW,False
Pablo Maffeo,"€ 18,846","€ 980,000",,D,26,Argentina,Mallorca,2023-2024,la-liga,,,"Jun 10, 2022","Jun 30, 2026",3,"€ 2,940,000",,Reserve,RB,True
Adrian Embarba,"€ 18,462","€ 960,000",,F,31,Spain,Almeria,2023-2024,la-liga,,,"Aug 24, 2022","Jun 30, 2026",3,"€ 2,880,000",,Reserve,RW,True
Sergio Herrera,"€ 18,269","€ 950,000",,K,30,Spain,Osasuna,2023-2024,la-liga,,,"Dec 8, 2021","Jun 30, 2026",3,"€ 2,850,000",,Starter,GK,True
Hannibal,"€ 18,077","€ 940,000",,F,21,Tunisia,Sevilla,2023-2024,la-liga,,,"Jan 15, 2024","Jun 30, 2024",1,"€ 940,000",,Reserve,AM,True
Jailson,"€ 17,885","€ 930,000",,M,28,Brazil,Celta Vigo,2023-2024,la-liga,,,"Jan 1, 2024","Jun 30, 2025",2,"€ 1,860,000",,Starter,DM,True
Ander Guevara,"€ 17,308","€ 900,000",,M,26,Spain,Alaves,2023-2024,la-liga,,,"Jul 9, 2023","Jun 30, 2027",4,"€ 3,600,000",,Starter,CM,True
Joseba Zaldua,"€ 17,308","€ 900,000",,D,31,Spain,Cadiz,2023-2024,la-liga,,,"Jul 11, 2022","Jun 30, 2025",2,"€ 1,800,000",,Reserve,RB,True
Rui Silva,"€ 17,308","€ 900,000",,K,29,Portugal,Real Betis,2023-2024,la-liga,,,"Jul 1, 2021","Jun 30, 2026",3,"€ 2,700,000","€ 60,000,000",Starter,GK,True
Bruno Mendez,"€ 17,308","€ 900,000",,D,24,Uruguay,Granada,2023-2024,la-liga,,,"Jan 1, 2024","Jun 30, 2027",4,"€ 3,600,000",,Reserve,CB,True
Lucas Boye,"€ 17,308","€ 900,000",,F,27,Argentina,Granada,2023-2024,la-liga,,,"Aug 30, 2023","Jun 30, 2027",4,"€ 3,600,000",,Reserve,CF,True
Moi Gomez,"€ 17,308","€ 900,000",,F,29,Spain,Osasuna,2023-2024,la-liga,,,"Jul 28, 2022","Jun 30, 2027",4,"€ 3,600,000","€ 20,000,000",Reserve,LW,True
Antonio Raillo,"€ 16,923","€ 880,000",,D,32,Spain,Mallorca,2023-2024,la-liga,,,"Apr 28, 2023","Jun 30, 2026",3,"€ 2,640,000",,Starter,CB,True
Antonio Sivera,"€ 16,923","€ 880,000",,K,27,Spain,Alaves,2023-2024,la-liga,,,"Dec 13, 2023","Jun 30, 2027",4,"€ 3,520,000",,Starter,GK,True
Oscar Valentin,"€ 16,923","€ 880,000",,M,29,Spain,Rayo Vallecano,2023-2024,la-liga,,,"Sep 13, 2023","Jun 30, 2027",4,"€ 3,520,000",,Starter,CM,True
